NETBLK-CENTURYTEL17 (NET-159-78-0-0-1) 	159.78.0.0 - 159.78.255.255
NETBLK-CENTURYTEL15 (NET-173-202-0-0-1) 	173.202.0.0 - 173.202.255.255
NETBLK-CENTURYTEL14 (NET-174-124-0-0-1) 	174.124.0.0 - 174.125.255.255
NETBLK-CENTURYTEL16 (NET-184-156-0-0-1) 	184.156.0.0 - 184.159.255.255
NETBLK-CENTURYTEL9 (NET-207-118-0-0-1) 	207.118.0.0 - 207.119.255.255
CENTURYTEL-NETBLOCK4 (NET-207-230-192-0-1) 	207.230.192.0 - 207.230.223.255
SURPASS (NET-207-230-199-192-1) 	207.230.199.192 - 207.230.199.223
CENTURYTEL-NETBLOCK-7 (NET-208-54-192-0-1) 	208.54.192.0 - 208.54.223.255
CENTURYTEL-NETBLOCK2 (NET-209-142-128-0-1) 	209.142.128.0 - 209.142.191.255
CENTURYTEL-NETBLOCK3 (NET-209-206-128-0-1) 	209.206.128.0 - 209.206.255.255
CENTURYTEL-NETBLOCK1 (NET-64-91-0-0-1) 	64.91.0.0 - 64.91.127.255
CENTURYTEL-NETBLOCK5 (NET-66-112-0-0-1) 	66.112.0.0 - 66.112.127.255
NETBLK-CENTURYTEL8 (NET-69-179-0-0-1) 	69.179.0.0 - 69.179.255.255
CENTURYTEL-NETBLOCK6 (NET-69-29-0-0-1) 	69.29.0.0 - 69.29.255.255
MAGTEL (NET-69-29-96-0-1) 	69.29.96.0 - 69.29.103.255
NETBLK-CENTURYTEL10 (NET-72-160-0-0-1) 	72.160.0.0 - 72.161.255.255
NETBLK-CENTURYTEL11 (NET-75-120-0-0-1) 	75.120.0.0 - 75.121.255.255
NETBLK-CENTURYTEL12 (NET-98-125-0-0-1) 	98.125.0.0 - 98.125.255.255
NETBLK-CENTURYTEL13 (NET-99-194-0-0-1) 	99.194.0.0 - 99.195.255.255
