FON-332652953698729 (NET-198-70-208-0-1) 	198.70.208.0 - 198.70.223.255
FON-34550661121904 (NET-205-240-32-0-1) 	205.240.32.0 - 205.240.47.255
SPRINTLINK (NET-207-15-132-0-1) 	207.15.132.0 - 207.15.132.127
FON-34907914244562 (NET-208-17-64-0-1) 	208.17.64.0 - 208.17.79.255
SPRINTLINK (NET-63-166-4-0-1) 	63.166.4.0 - 63.166.5.255
SPRINTLINK (NET-63-175-70-0-1) 	63.175.70.0 - 63.175.71.255
FON-110118707273372 (NET-65-162-200-0-1) 	65.162.200.0 - 65.162.203.255
FON-110127104076050 (NET-65-164-16-0-1) 	65.164.16.0 - 65.164.23.255
FON-110131609676588 (NET-65-164-192-0-1) 	65.164.192.0 - 65.164.199.255
FON-110131814478127 (NET-65-164-200-0-1) 	65.164.200.0 - 65.164.207.255
FON-110140006474848 (NET-65-166-8-0-1) 	65.166.8.0 - 65.166.9.255
FON-110187315290235 (NET-65-173-64-0-1) 	65.173.64.0 - 65.173.79.255
FON-110196326488877 (NET-65-174-160-0-1) 	65.174.160.0 - 65.174.163.255
