UU-208-241-20 (NET-208-241-20-0-1) 	208.241.20.0 - 208.241.20.255
MEBTEL-BLK-6 (NET-209-102-128-0-1) 	209.102.128.0 - 209.102.191.255
MEBTEL-BLK-2 (NET-216-166-192-0-1) 	216.166.192.0 - 216.166.255.255
MEBTEL-BLK-7 (NET-216-231-160-0-1) 	216.231.160.0 - 216.231.191.255
UU-63-67-172 (NET-63-67-172-0-1) 	63.67.172.0 - 63.67.173.255
UU-63-67-174 (NET-63-67-174-0-1) 	63.67.174.0 - 63.67.174.255
UU-63-72-92 (NET-63-72-92-0-1) 	63.72.92.0 - 63.72.95.255
MEBTEL-BLK-1 (NET-64-40-64-0-1) 	64.40.64.0 - 64.40.95.255
MEBTEL-BLK-4 (NET-66-249-32-0-1) 	66.249.32.0 - 66.249.63.255
MEBTEL-BLK-3 (NET-66-79-0-0-1) 	66.79.0.0 - 66.79.95.255
MEBTEL-BLK-5 (NET-72-26-64-0-1) 	72.26.64.0 - 72.26.95.255
KNOX-COLLEGE (NET-72-26-64-0-2) 	72.26.64.0 - 72.26.71.255
KNOX-COLLEGE (NET-72-26-72-0-1) 	72.26.72.0 - 72.26.72.255
