AS209	209
AS3908	3908 - 3910
AS3951	3951
AS4048	4048
AS4911	4911
AS6223	6223 - 6227
AS6640	6640
192.41.240.0/22 (Direct Allocation)	
192.42.134.0/23 (Direct Allocation)	
192.42.136.0/24 (Direct Allocation)	
2001:429::/32 (ARIN Reserved)	
2001:42A::/31 (ARIN Reserved)	
2001:42C::/30 (ARIN Reserved)	
204.132.0.0/15 (Direct Allocation)	
204.134.0.0/16 (Direct Allocation)	
72.166.0.0/16 (Direct Allocation)	
NET-192-122-212-0-1	192.122.212.0/24 (Direct Allocation)
NET-192-131-122-0-1	192.131.122.0/24 (Direct Assignment)
NET-192-153-169-0-1	192.153.169.0/24 (Direct Assignment)
NET-192-231-90-0-1	192.231.90.0/24 (Direct Allocation)
NET-192-245-163-0-1	192.245.163.0/24 (Direct Assignment)
NET-192-245-164-0-1	192.245.164.0/24 (Direct Assignment)
NET-192-41-239-0-1	192.41.239.0/24 (Direct Allocation)
NET-192-42-133-0-1	192.42.133.0/24 (Direct Allocation)
NET-192-70-203-0-1	192.70.203.0/24 (Direct Assignment)
NET-192-73-221-0-1	192.73.221.0/24 (Direct Allocation)
NET-192-94-50-0-1	192.94.50.0/24 (Direct Assignment)
NET-192-94-51-0-1	192.94.51.0/24 (Direct Assignment)
NET-192-94-52-0-1	192.94.52.0/24 (Direct Assignment)
NET-198-233-0-0-1	198.233.0.0/16 (Direct Allocation)
NET-198-233-74-0-1	198.233.74.0/24 (Reassigned)
NET-198-233-75-0-1	198.233.75.0/24 (Reassigned)
NET-198-233-76-0-1	198.233.76.0/24 (Reassigned)
NET-198-233-77-0-1	198.233.77.0/24 (Reassigned)
NET-198-233-84-0-1	198.233.84.0/24 (Reassigned)
NET-198-233-88-0-1	198.233.88.0/24 (Reassigned)
NET-198-233-89-0-1	198.233.89.0/24 (Reassigned)
NET-198-233-91-0-1	198.233.91.0/24 (Reassigned)
NET-198-233-94-0-1	198.233.94.0/24 (Reassigned)
NET-198-243-0-0-1	198.243.0.0/16 (Direct Allocation)
NET-198-252-176-0-1	198.252.176.0/24 (Direct Allocation)
NET-198-36-168-0-1	198.36.168.0/24 (Reassigned)
NET-198-36-184-0-1	198.36.184.0/24 (Reassigned)
NET-199-117-0-0-1	199.117.0.0/16 (Direct Allocation)
NET-199-89-186-0-1	199.89.186.0/24 (Direct Allocation)
NET-204-131-0-0-1	204.131.0.0/16 (Direct Allocation)
NET-204-133-176-0-1	204.133.176.0/24 (Reassigned)
NET-204-147-91-0-1	204.147.91.0/24 (Reassigned)
NET-204-154-232-0-1	204.154.232.0/21 (Direct Allocation)
NET-204-245-64-0-1	204.245.64.0/18 (Direct Allocation)
NET-204-98-0-0-1	204.98.0.0/16 (Direct Allocation)
NET-205-168-0-0-1	205.168.0.0/14 (Direct Allocation)
NET-205-168-14-0-1	205.168.14.0/24 (Reassigned)
NET-205-168-21-0-1	205.168.21.0/24 (Reassigned)
NET-205-168-24-0-1	205.168.24.0/24 (Reassigned)
NET-205-168-54-0-1	205.168.54.0/24 (Reassigned)
NET-205-168-55-0-1	205.168.55.0/24 (Reassigned)
