QC-IT-NET-BLK-1 (NET-137-106-0-0-1) 	137.106.0.0 - 137.106.255.255
QC-IT-NET-BLK-2 (NET-137-107-0-0-1) 	137.107.0.0 - 137.107.255.255
QC-IT-NET-BLK-14 (NET-144-163-0-0-1) 	144.163.0.0 - 144.163.255.255
QC-IT-NET-BLK-3 (NET-148-155-0-0-1) 	148.155.0.0 - 148.155.255.255
QC-IT-NET-BLK-4 (NET-148-156-0-0-1) 	148.156.0.0 - 148.156.255.255
QC-IT-NET-BLK-5 (NET-148-157-0-0-1) 	148.157.0.0 - 148.157.255.255
QC-IT-NET-BLK-6 (NET-148-158-0-0-1) 	148.158.0.0 - 148.158.255.255
QC-IT-NET-BLK-7 (NET-150-159-0-0-1) 	150.159.0.0 - 150.159.255.255
QC-IT-NET-BLK-8 (NET-151-116-0-0-1) 	151.116.0.0 - 151.117.255.255
QC-IT-NET-BLK-15 (NET-151-119-0-0-1) 	151.119.0.0 - 151.119.255.255
QC-IT-NET-BLK-9 (NET-155-70-0-0-1) 	155.70.0.0 - 155.70.255.255
QC-IT-NET-BLK-10 (NET-192-104-175-0-1) 	192.104.175.0 - 192.104.180.255
QC-IT-NET-BLK-11 (NET-192-65-140-0-1) 	192.65.140.0 - 192.65.140.255
QC-IT-NET-BLK-16 (NET-198-186-195-0-1) 	198.186.195.0 - 198.186.198.255
QC-IT-NET-BLK-12 (NET-198-91-0-0-1) 	198.91.0.0 - 198.91.1.255
Q0822-199-117-49-32 (NET-199-117-49-32-1) 	199.117.49.32 - 199.117.49.63
QC-IT-NET-BLK-17 (NET-199-120-190-0-1) 	199.120.190.0 - 199.120.190.255
QC-IT-NET-BLK-13 (NET-199-168-32-0-1) 	199.168.32.0 - 199.168.40.255
