DSL-NET172-FL (NET-205-161-229-0-1) 	205.161.229.0 - 205.161.229.255
DSL-NET177-178-FL (NET-205-161-232-0-1) 	205.161.232.0 - 205.161.233.255
DSL-NET003-LV (NET-205-244-194-0-1) 	205.244.194.0 - 205.244.194.255
DSL-NET007-FL (NET-205-245-2-0-1) 	205.245.2.0 - 205.245.2.255
DSL-NET063-066-NJ (NET-207-14-188-0-1) 	207.14.188.0 - 207.14.191.255
DSL-NET039-FL (NET-207-30-117-0-1) 	207.30.117.0 - 207.30.117.255
DSL-NET019-FL (NET-207-30-121-0-1) 	207.30.121.0 - 207.30.121.255
DSL-NET024-026-FL (NET-207-30-158-0-1) 	207.30.158.0 - 207.30.160.255
DSL-NET28-FL (NET-207-30-163-0-1) 	207.30.163.0 - 207.30.165.255
DSL-NET010-013-FL (NET-207-30-202-0-1) 	207.30.202.0 - 207.30.205.255
DSL-NET043-FL (NET-207-30-217-0-1) 	207.30.217.0 - 207.30.217.255
DSL-NET030-033-FL (NET-207-30-4-0-1) 	207.30.4.0 - 207.30.7.255
DSL-NET081-LV (NET-208-13-132-0-1) 	208.13.132.0 - 208.13.132.255
DSL-NET115-LV (NET-208-13-134-0-1) 	208.13.134.0 - 208.13.134.255
DSL-NET117-LV (NET-208-13-136-0-1) 	208.13.136.0 - 208.13.136.255
DSL-NET119-LV (NET-208-13-138-0-1) 	208.13.138.0 - 208.13.138.255
DSL-NET121-LV (NET-208-13-140-0-1) 	208.13.140.0 - 208.13.140.255
DSL-NET124-LV (NET-208-13-143-0-1) 	208.13.143.0 - 208.13.143.255
DSL-NET129-VA (NET-208-33-152-0-1) 	208.33.152.0 - 208.33.154.255
DSL-NET130-VA (NET-208-33-158-0-1) 	208.33.158.0 - 208.33.159.255
DSL-NET237-FL (NET-209-26-18-0-1) 	209.26.18.0 - 209.26.22.255
DSL-NET181-FL (NET-209-26-189-0-1) 	209.26.189.0 - 209.26.189.255
DSL-NET054-FL (NET-209-26-212-0-1) 	209.26.212.0 - 209.26.212.255
DSL-NET044-FL (NET-209-26-234-0-1) 	209.26.234.0 - 209.26.239.255
DSL-NET048-FL (NET-209-26-241-0-1) 	209.26.241.0 - 209.26.241.255
DSL-NET180-FL (NET-209-26-251-0-1) 	209.26.251.0 - 209.26.251.127
DSL-NET179-FL (NET-209-26-63-0-1) 	209.26.63.0 - 209.26.63.255
DSL-NET050-FL (NET-209-26-68-0-1) 	209.26.68.0 - 209.26.68.255
DSL-NET141-NC (NET-63-162-197-0-1) 	63.162.197.0 - 63.162.207.255
DSL-NET143-NC (NET-63-173-118-0-1) 	63.173.118.0 - 63.173.119.255
DSL-NET145-NC (NET-63-173-122-0-1) 	63.173.122.0 - 63.173.123.255
DSL-NET242-FL (NET-64-45-208-0-1) 	64.45.208.0 - 64.45.209.255
DSL-NET195-FL (NET-64-45-224-0-1) 	64.45.224.0 - 64.45.228.255
DSL-NET250-FL (NET-64-45-232-0-1) 	64.45.232.0 - 64.45.235.255
DSL-NET073-080-LV (NET-65-160-208-0-1) 	65.160.208.0 - 65.160.215.255
DSL-NET153-NC (NET-65-164-192-0-2) 	65.164.192.0 - 65.164.199.255
DSL-NET171-NJ (NET-65-164-200-0-2) 	65.164.200.0 - 65.164.207.255
DSL-NET215-MO (NET-65-173-64-0-2) 	65.173.64.0 - 65.173.79.255
DSL-NET231-NC (NET-65-173-80-0-1) 	65.173.80.0 - 65.173.95.255
DSL-NET199-OH (NET-65-174-160-0-2) 	65.174.160.0 - 65.174.163.255
