SPRINT-CDA0C7 (NET-205-160-192-0-1) 	205.160.192.0 - 205.160.199.255
SPRINT-CDF47F (NET-205-244-112-0-1) 	205.244.112.0 - 205.244.127.255
SPRINT-CDF4CF (NET-205-244-200-0-1) 	205.244.200.0 - 205.244.207.255
FON-345541222449883 (NET-205-245-104-0-1) 	205.245.104.0 - 205.245.107.255
FON-345541017649882 (NET-205-245-96-0-1) 	205.245.96.0 - 205.245.103.255
SPRINT-CDF7FF (NET-205-247-224-0-1) 	205.247.224.0 - 205.247.255.255
SPRINT-CE69CF (NET-206-105-200-0-1) 	206.105.200.0 - 206.105.207.255
SPRINT-CE694B (NET-206-105-74-0-1) 	206.105.74.0 - 206.105.75.255
SPRINT-CE6B60-1 (NET-206-107-96-0-1) 	206.107.96.0 - 206.107.127.255
SPRINT-CE9FAC-1 (NET-206-159-172-0-1) 	206.159.172.0 - 206.159.175.255
SPRINT-CEE4FF (NET-206-228-240-0-1) 	206.228.240.0 - 206.228.255.255
SPRINT-CF0ED8-1 (NET-207-14-216-0-1) 	207.14.216.0 - 207.14.219.255
SPRINT-CF0EE0-1 (NET-207-14-224-0-1) 	207.14.224.0 - 207.14.239.255
SPRINTLINK-BLKR-1 (NET-207-42-148-0-1) 	207.42.148.0 - 207.42.151.255
SPRINT-CF2AAF (NET-207-42-160-0-1) 	207.42.160.0 - 207.42.175.255
FON-34897851055239 (NET-208-1-217-0-1) 	208.1.217.0 - 208.1.217.255
FON-348978380849884 (NET-208-1-224-0-1) 	208.1.224.0 - 208.1.224.255
FON-348978585649886 (NET-208-1-232-0-1) 	208.1.232.0 - 208.1.232.255
SPRINTLINK (NET-208-11-160-0-1) 	208.11.160.0 - 208.11.191.255
SPRINT-D01910-1 (NET-208-25-16-0-1) 	208.25.16.0 - 208.25.23.255
SPRINT-D019F0-1 (NET-208-25-240-0-1) 	208.25.240.0 - 208.25.255.255
SPRINT-D01B00 (NET-208-27-0-0-1) 	208.27.0.0 - 208.27.31.255
SPRINT-D01B70 (NET-208-27-112-0-1) 	208.27.112.0 - 208.27.127.255
SPRINT-D022E0-1 (NET-208-34-224-0-1) 	208.34.224.0 - 208.34.239.255
SPRINT-D0063F (NET-208-6-32-0-1) 	208.6.32.0 - 208.6.63.255
SPRINT-D0065F (NET-208-6-80-0-1) 	208.6.80.0 - 208.6.95.255
SPRINT-D007D0-1 (NET-208-7-208-0-1) 	208.7.208.0 - 208.7.223.255
FON-106772070449880 (NET-63-164-32-0-1) 	63.164.32.0 - 63.164.47.255
FON-106781491244578 (NET-63-165-144-0-1) 	63.165.144.0 - 63.165.159.255
FON-106786611245819 (NET-63-166-88-0-1) 	63.166.88.0 - 63.166.91.255
FON-110116454472645 (NET-65-162-112-0-1) 	65.162.112.0 - 65.162.127.255
SPRINTLINK (NET-66-247-208-0-1) 	66.247.208.0 - 66.247.211.255
