OID,Product,Block,Date
CENTEL,UNKNOWN,143.190/16,
LIGHT-21,UNKNOWN,173.248.64/18,
LIGHT-21,UNKNOWN,204.9.120/21,
LIGHT-21,UNKNOWN,206.51.64/19,
LIGHT-21,UNKNOWN,208.110.240/20,
LIGHT-21,UNKNOWN,64.192.64/21,
LIGHT-21,UNKNOWN,66.211.32/19,
CIH-12,UNKNOWN,159.78/16,
CIH-12,UNKNOWN,173.202/16,
CIH-12,UNKNOWN,174.124/15,
CIH-12,UNKNOWN,184.156/14,
CIH-12,UNKNOWN,207.118/15,
CIH-12,UNKNOWN,207.230.192/19,
# This is a reassignment block from 207.230.192/19
#CIH-12,UNKNOWN,207.230.199.192/27,
CIH-12,UNKNOWN,208.54.192/19,
CIH-12,UNKNOWN,209.142.128/18,
CIH-12,UNKNOWN,209.206.128/17,
CIH-12,UNKNOWN,64.91.0/17,
CIH-12,UNKNOWN,66.112.0/17,
CIH-12,UNKNOWN,69.179/16,
CIH-12,UNKNOWN,69.29/16,
# This is a reassignment block from 69.29/16
#CIH-12,UNKNOWN,69.29.96/21,
CIH-12,UNKNOWN,72.160/15,
CIH-12,UNKNOWN,75.120/15,
CIH-12,UNKNOWN,98.125/16,
CIH-12,UNKNOWN,99.194/15,
CSL-63,UNKNOWN,208.42.192/19,
# This is a reassignment block from 209.142.128/18
#CSL-63,UNKNOWN,209.142.166/24,
# This is a reassignment block from 209.142.128/18
#CSL-63,UNKNOWN,209.142.184/24,
CSL-63,UNKNOWN,64.238.224/19,
CSL-63,UNKNOWN,64.89.96/19,
# This is a reassignment block from 64.91.0/17
#CSL-63,UNKNOWN,64.91.80/22,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.0/24,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.10/24,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.17/24,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.22/24,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.32/24,
# This is a reassignment block from 66.112.0/17
#CSL-63,UNKNOWN,66.112.38/24,
CSL-63,UNKNOWN,66.208.128/18,
CSL-63,UNKNOWN,66.242.224/19,
CSL-63,UNKNOWN,67.63.128/19,
CSL-63,UNKNOWN,67.63.160/20,
CSL-63,UNKNOWN,67.63.192/18,
CSL-63,UNKNOWN,69.147.128/19,
CSL-63,UNKNOWN,69.18.64/18,
EMBAR,UNKNOWN,138.210/16,
EMBAR,UNKNOWN,162.104/16,
EMBAR,UNKNOWN,184.0/13,
EMBAR,UNKNOWN,199.44/16,
EMBAR,UNKNOWN,204.49/16,
EMBAR,UNKNOWN,205.244.96/20,
